id;gender;phone;address_line_1;address_line_2;city;country;user_id
1;MALE;331.058.0185 x95208;cross-platform pixel;Bike Rustic Frozen Sausages;East Alphonsochester;Togo;1
2;MALE;373.028.7269 x92749;Principal input;European Monetary Unit (E.M.U.-6) throughput;Murphyburgh;Reunion;2
3;MALE;1-008-895-1374 x6351;COM Colombian Peso Unidad de Valor Real Enhanced;intangible Fantastic Concrete Bacon;Greenmouth;Lithuania;1
4;OTHER;472.753.7224 x50193;withdrawal;Denar yellow Fresh;Parkerfort;Maldives;1
5;FEMALE;1-379-747-4558;Avon;Assurance Shoes;New Leathaberg;Sao Tome and Principe;1
6;FEMALE;576.805.0172 x0820;Ouguiya Credit Card Account;user-facing;Mariannachester;Saint Helena;2
7;OTHER;996-757-5319 x762;mindshare;Savings Account indexing deposit;Lexusview;Colombia;1
8;FEMALE;(363) 984-6740 x08325;transparent;override Unbranded;Port Noemy;Italy;2
9;OTHER;1-100-522-3210 x3957;core azure rich;Home District Arkansas;East Catalinaview;Lithuania;1
10;OTHER;656.427.0258 x59719;Colorado moratorium;Vision-oriented;Martinechester;Aruba;1
